"","LGA","Ward","time","count"
"569","Kajuru","Kajuru",2023-12-01,2
"579","Kubau","Kargi",2023-12-01,5
"582","Kachia","Katari",2023-12-01,2
"594","Soba","Kinkiba",2023-12-01,2
"602","Kagarko","Kukui",2023-12-01,2
"612","Birnin_Gwari","Kuyello",2023-12-01,3
"616","Soba","Kwasallo",2023-12-01,3
"622","Kudan","Lokoro",2023-12-01,2
"624","Birnin_Gwari","Magajin Gari 1",2023-12-01,2
"626","Kubau","Mah",2023-12-01,3
"634","Kajuru","Maro",2023-12-01,3
"636","Sabon_Gari","Muchia",2023-12-01,3
"637","Sanga","Nandu",2023-12-01,2
"640","Jaba","Nduya",2023-12-01,2
"656","Ikara","Rumi",2023-12-01,3
"660","Lere","Sabon Birni",2023-12-01,2
"663","Kaduna_South","Sabon Gari  North",2023-12-01,4
"664","Kaduna_South","Sabon Gari South",2023-12-01,4
"665","Kaduna_South","Sabon Gari West",2023-12-01,5
"669","Jaba","Samban",2023-12-01,2
"678","Jemaa","Takau",2023-12-01,4
"679","Kajuru","Tantatu",2023-12-01,2
"681","Kaduna_South","Tudun Nupawa",2023-12-01,5
"683","Zaria","Tudun Wada",2023-12-01,2
"684","Kaduna_South","Tudun Wada Nrth",2023-12-01,2
"686","Zaria","Tukur Tukur",2023-12-01,2
"692","Zaria","Unguwan Juma",2023-12-01,2
"695","Kaduna_North","Unguwar Sarki",2023-12-01,2
"698","Sanga","Wasa",2023-12-01,2
"700","Zaria","Wucciciri",2023-12-01,2
"705","Igabi","Zangon Aya",2023-12-01,3
"707","Zangon_Kataf","Zonkwa",2023-12-01,2
"708","Zangon_Kataf","Zonzon",2023-12-01,2
"710","Lere","Abadawa",2024-01-01,3
"711","Sanga","Aboro",2024-01-01,2
"719","Kagarko","Aribi",2024-01-01,6
"722","Ikara","Auchan",2024-01-01,2
"730","Sabon_Gari","Basawa",2024-01-01,5
"731","Igabi","Birnin_Yero",2024-01-01,2
"739","Jaba","Chori",2024-01-01,2
"742","Kauru","Damakasuwa",2024-01-01,2
"744","Kubau","Damau",2024-01-01,2
"746","Lere","Dan-Alhaji",2024-01-01,2
"747","Makarfi","Dandamisa",2024-01-01,2
"750","Soba","Danwata",2024-01-01,2
"753","Sabon_Gari","Dogarawa",2024-01-01,3
"755","Kachia","Doka",2024-01-01,2
"757","Kubau","Dutsen-Wai",2024-01-01,3
"763","Chikun","G/Gwada",2024-01-01,2
"765","Soba","Gamagira",2024-01-01,6
"768","Soba","Garu",2024-01-01,2
"769","Lere","Garu/ Mariri",2024-01-01,2
"771","Makarfi","Gazara",2024-01-01,2
"777","Soba","Gimba",2024-01-01,2
"778","Makarfi","Gimi",2024-01-01,2
"780","Jemaa","Godo Godo",2024-01-01,2
"782","Makarfi","Gubuchi",2024-01-01,3
"784","Lere","Gure/Kahugu",2024-01-01,2
"788","Zaria","Gyallesu",2024-01-01,2
"790","Kubau","Haskiya",2024-01-01,4
"792","Kudan","Hunkuyi",2024-01-01,2
"793","Giwa","Idasu",2024-01-01,2
"797","Ikara","Ikara",2024-01-01,2
"798","Zangon_Kataf","Ikulu",2024-01-01,2
"800","Sabon_Gari","Jamaa",2024-01-01,2
"802","Kagarko","Jere North",2024-01-01,2
"804","Sabon_Gari","Jushi",2024-01-01,10
"809","Jemaa","Kafanchan B",2024-01-01,2
"819","Zangon_Kataf","Kamantan",2024-01-01,2
"822","Kubau","Kareh",2024-01-01,2
"823","Kubau","Kargi",2024-01-01,8
"831","Kudan","Kauran Wali South",2024-01-01,2
"836","Giwa","Kidandan",2024-01-01,2
"837","Soba","Kinkiba",2024-01-01,2
"839","Kubau","Kubau",2024-01-01,4
"841","Lere","Kudaru",2024-01-01,2
"843","Zaria","Kufena",2024-01-01,2
"851","Ikara","Kurmin Kogi",2024-01-01,2
"855","Birnin_Gwari","Kuyello",2024-01-01,3
"862","Lere","Lazuru",2024-01-01,4
"869","Kubau","Mah",2024-01-01,4
"871","Soba","Maigana",2024-01-01,2
"872","Jemaa","Maigizo",2024-01-01,2
"891","Ikara","Pala",2024-01-01,2
"894","Lere","Ramin Kura",2024-01-01,2
"901","Ikara","Rumi",2024-01-01,2
"903","Jaba","Sab-Zuro",2024-01-01,2
"907","Kudan","Sabon Gari",2024-01-01,3
"915","Lere","Saminaka",2024-01-01,3
"916","Kaduna_North","Sardauna",2024-01-01,2
"918","Ikara","Saya Saya",2024-01-01,2
"924","Jemaa","Takau",2024-01-01,2
"925","Kajuru","Tantatu",2024-01-01,2
"936","Zangon_Kataf","Ung Rimi",2024-01-01,2
"937","Zaria","Unguwan Fatika",2024-01-01,3
"943","Kaduna_South","Ungwawan Sanusi",2024-01-01,2
"946","Zaria","Wucciciri",2024-01-01,4
"948","Chikun","Yelwa",2024-01-01,2
"950","Sabon_Gari","Zabi",2024-01-01,3
"952","Zangon_Kataf","Zaman Dabo",2024-01-01,2
"953","Zangon_Kataf","Zango Urban",2024-01-01,2
"957","Zangon_Kataf","Zonzon",2024-01-01,2
"958","Kubau","Zuntu",2024-01-01,2
"959","Lere","Abadawa",2024-02-01,2
"965","Kubau","Anchau",2024-02-01,2
"966","Sabon_Gari","Anguwan Gabas",2024-02-01,2
"972","Ikara","Auchan",2024-02-01,2
"980","Sabon_Gari","Basawa",2024-02-01,3
"989","Chikun","Chikun",2024-02-01,3
"993","Kauru","Damakasuwa",2024-02-01,3
"1001","Soba","Danwata",2024-02-01,2
"1002","Kauru","Dari",2024-02-01,3
"1004","Sabon_Gari","Dogarawa",2024-02-01,2
"1008","Kubau","Dutsen-Wai",2024-02-01,4
"1016","Soba","Gamagira",2024-02-01,6
"1018","Kudan","Garu",2024-02-01,2
"1027","Soba","Gimba",2024-02-01,2
"1028","Makarfi","Gimi",2024-02-01,3
"1035","Sanga","Gwantu",2024-02-01,2
"1042","Giwa","Idasu",2024-02-01,2
"1045","Igabi","Igabi",2024-02-01,2
"1046","Ikara","Ikara",2024-02-01,3
"1047","Zangon_Kataf","Ikulu",2024-02-01,2
"1048","Jemaa","Jagindi",2024-02-01,2
"1049","Sabon_Gari","Jamaa",2024-02-01,2
"1050","Ikara","Jamfalan",2024-02-01,2
"1053","Sabon_Gari","Jushi",2024-02-01,7
"1055","Kachia","Kachia",2024-02-01,2
"1056","Kaura","Kadarko",2024-02-01,2
"1060","Kagarko","Kagarko South",2024-02-01,2
"1072","Kubau","Kargi",2024-02-01,3
"1077","Kaura","Kaura",2024-02-01,2
"1082","Kauru","Kauru West",2024-02-01,2
"1083","Kaduna_North","Kawo",2024-02-01,2
"1084","Lere","Kayarda",2024-02-01,2
"1087","Soba","Kinkiba",2024-02-01,2
"1099","Kachia","Kurimin Musa",2024-02-01,2
"1101","Ikara","Kurmin Kogi",2024-02-01,2
"1105","Birnin_Gwari","Kuyello",2024-02-01,2
"1110","Kauru","Kwassam",2024-02-01,2
"1112","Lere","Lazuru",2024-02-01,2
"1113","Lere","Lere",2024-02-01,3
"1114","Zaria","Limancin Kona",2024-02-01,2
"1118","Kubau","Mah",2024-02-01,6
"1120","Soba","Maigana",2024-02-01,2
"1125","Kaura","Mallagum",2024-02-01,2
"1135","Sanga","Ninzo North",2024-02-01,2
"1140","Ikara","Pala",2024-02-01,2
"1144","Birnin_Gwari","Randagi",2024-02-01,2
"1147","Igabi","Rigachikun",2024-02-01,2
"1150","Ikara","Rumi",2024-02-01,2
"1151","Jaba","Sab-Chem",2024-02-01,2
"1156","Kudan","Sabon Gari",2024-02-01,4
"1157","Kaduna_South","Sabon Gari  North",2024-02-01,2
"1160","Chikun","Sabon Tasha",2024-02-01,2
"1163","Lere","Saminaka",2024-02-01,2
"1166","Ikara","Saya Saya",2024-02-01,2
"1168","Giwa","Shika",2024-02-01,2
"1169","Soba","Soba",2024-02-01,2
"1174","Kaduna_South","Television",2024-02-01,3
"1177","Zaria","Tudun Wada",2024-02-01,2
"1178","Kaduna_South","Tudun Wada Nrth",2024-02-01,2
"1184","Zangon_Kataf","Ung Rimi",2024-02-01,2
"1185","Zaria","Unguwan Fatika",2024-02-01,2
"1198","Zangon_Kataf","Zaman Dabo",2024-02-01,3
"1199","Zangon_Kataf","Zango Urban",2024-02-01,3
"1203","Zangon_Kataf","Zonzon",2024-02-01,2
"1204","Kubau","Zuntu",2024-02-01,3
"1212","Sabon_Gari","Anguwan Gabas",2024-03-01,2
"1214","Sanga","Arak",2024-03-01,2
"1216","Jemaa","Asso",2024-03-01,2
"1218","Ikara","Auchan",2024-03-01,2
"1245","Makarfi","Danguzuri",2024-03-01,2
"1247","Soba","Danwata",2024-03-01,2
"1250","Sabon_Gari","Dogarawa",2024-03-01,3
"1253","Kudan","Doka",2024-03-01,2
"1255","Zaria","Dutsen Abba",2024-03-01,2
"1259","Igabi","Fanshanu",2024-03-01,2
"1262","Soba","Gamagira",2024-03-01,6
"1266","Lere","Garu/ Mariri",2024-03-01,2
"1271","Kachia","Gidan Tagwai",2024-03-01,2
"1273","Soba","Gimba",2024-03-01,2
"1274","Makarfi","Gimi",2024-03-01,2
"1275","Giwa","Giwa",2024-03-01,2
"1278","Makarfi","Gubuchi",2024-03-01,2
"1280","Lere","Gure/Kahugu",2024-03-01,3
"1284","Zaria","Gyallesu",2024-03-01,2
"1287","Kaduna_North","Hayin Banki",2024-03-01,2
"1293","Ikara","Ikara",2024-03-01,4
"1296","Sabon_Gari","Jamaa",2024-03-01,2
"1299","Kagarko","Jere South",2024-03-01,2
"1300","Sabon_Gari","Jushi",2024-03-01,6
"1314","Kajuru","Kallah",2024-03-01,2
"1319","Kubau","Kargi",2024-03-01,2
"1322","Kaura","Kaura",2024-03-01,2
"1323","Zaria","Kaura",2024-03-01,2
"1331","Giwa","Kidandan",2024-03-01,2
"1332","Soba","Kinkiba",2024-03-01,2
"1346","Ikara","Kurmin Kogi",2024-03-01,2
"1350","Birnin_Gwari","Kuyello",2024-03-01,4
"1364","Soba","Maigana",2024-03-01,2
"1365","Jemaa","Maigizo",2024-03-01,2
"1374","Chikun","Narayi",2024-03-01,2
"1381","Ikara","Pala",2024-03-01,2
"1392","Ikara","Rumi",2024-03-01,2
"1393","Jaba","Sab-Chem",2024-03-01,8
"1398","Kudan","Sabon Gari",2024-03-01,4
"1401","Kaduna_South","Sabon Gari West",2024-03-01,2
"1403","Chikun","Sabon Tasha",2024-03-01,2
"1409","Ikara","Saya Saya",2024-03-01,2
"1412","Soba","Soba",2024-03-01,4
"1415","Jemaa","Takau",2024-03-01,2
"1427","Zangon_Kataf","Ung Rimi",2024-03-01,2
"1435","Sanga","Wasa",2024-03-01,2
"1440","Kudan","Zabi",2024-03-01,2
"1442","Zangon_Kataf","Zaman Dabo",2024-03-01,2
"1443","Zangon_Kataf","Zango Urban",2024-03-01,3
"1448","Kubau","Zuntu",2024-03-01,2
"1456","Sabon_Gari","Anguwan Gabas",2024-04-01,2
"1481","Kaduna_North","Dadi Riba",2024-04-01,2
"1492","Kauru","Dawaki",2024-04-01,2
"1500","Kaura","Fada",2024-04-01,2
"1505","Soba","Gamagira",2024-04-01,2
"1507","Kudan","Garu",2024-04-01,2
"1515","Soba","Gimba",2024-04-01,2
"1516","Makarfi","Gimi",2024-04-01,2
"1517","Giwa","Giwa",2024-04-01,3
"1534","Ikara","Ikara",2024-04-01,2
"1535","Zangon_Kataf","Ikulu",2024-04-01,2
"1536","Jemaa","Jagindi",2024-04-01,2
"1537","Sabon_Gari","Jamaa",2024-04-01,2
"1541","Sabon_Gari","Jushi",2024-04-01,6
"1547","Kagarko","Kagarko North",2024-04-01,2
"1553","Kajuru","Kallah",2024-04-01,2
"1559","Sanga","Karshi",2024-04-01,2
"1572","Soba","Kinkiba",2024-04-01,2
"1578","Zaria","Kufena",2024-04-01,2
"1584","Kachia","Kurimin Musa",2024-04-01,2
"1585","Kagarko","Kurmin Jibrin",2024-04-01,2
"1586","Ikara","Kurmin Kogi",2024-04-01,2
"1590","Birnin_Gwari","Kuyello",2024-04-01,7
"1593","Zaria","Kwarbai B",2024-04-01,2
"1609","Makarfi","Makarfi",2024-04-01,2
"1616","Chikun","Narayi",2024-04-01,2
"1623","Ikara","Pala",2024-04-01,2
"1634","Ikara","Rumi",2024-04-01,3
"1636","Jaba","Sab-Zuro",2024-04-01,4
"1640","Kudan","Sabon Gari",2024-04-01,6
"1646","Sabon_Gari","Samaru",2024-04-01,2
"1651","Ikara","Saya Saya",2024-04-01,2
"1662","Zaria","Tudun Wada",2024-04-01,2
"1663","Kaduna_South","Tudun Wada Nrth",2024-04-01,2
"1669","Zangon_Kataf","Ung Rimi",2024-04-01,2
"1679","Giwa","Yakawada",2024-04-01,2
"1681","Kudan","Zabi",2024-04-01,2
"1683","Zangon_Kataf","Zaman Dabo",2024-04-01,2
"1684","Zangon_Kataf","Zango Urban",2024-04-01,2
"1689","Kubau","Zuntu",2024-04-01,2
"1690","Lere","Abadawa",2024-05-01,2
"1697","Sabon_Gari","Anguwan Gabas",2024-05-01,2
"1699","Sanga","Arak",2024-05-01,2
"1701","Jemaa","Asso",2024-05-01,3
"1703","Kachia","Awon",2024-05-01,2
"1734","Sabon_Gari","Dogarawa",2024-05-01,2
"1737","Kubau","Dutsen-Wai",2024-05-01,2
"1744","Soba","Gamagira",2024-05-01,2
"1745","Giwa","Gangara",2024-05-01,2
"1752","Jemaa","Gidan Waya",2024-05-01,2
"1753","Soba","Gimba",2024-05-01,3
"1755","Giwa","Giwa",2024-05-01,2
"1760","Lere","Gure/Kahugu",2024-05-01,2
"1762","Sanga","Gwantu",2024-05-01,3
"1773","Ikara","Ikara",2024-05-01,6
"1776","Sabon_Gari","Jamaa",2024-05-01,2
"1778","Kagarko","Jere North",2024-05-01,2
"1780","Sabon_Gari","Jushi",2024-05-01,7
"1783","Kaura","Kadarko",2024-05-01,2
"1801","Kaura","Kaura",2024-05-01,2
"1808","Lere","Kayarda",2024-05-01,3
"1811","Soba","Kinkiba",2024-05-01,2
"1821","Chikun","Kunai",2024-05-01,2
"1825","Ikara","Kurmin Kogi",2024-05-01,3
"1829","Birnin_Gwari","Kuyello",2024-05-01,4
"1835","Kachia","Kwaturu",2024-05-01,2
"1837","Lere","Lere",2024-05-01,4
"1850","Kaura","Manchok",2024-05-01,2
"1854","Chikun","Narayi",2024-05-01,2
"1860","Jaba","Nok",2024-05-01,2
"1862","Ikara","Pala",2024-05-01,2
"1865","Lere","Ramin Kura",2024-05-01,2
"1868","Chikun","Rido",2024-05-01,2
"1876","Kudan","Sabon Gari",2024-05-01,7
"1884","Lere","Saminaka",2024-05-01,2
"1886","Ikara","Saulawa",2024-05-01,2
"1887","Ikara","Saya Saya",2024-05-01,2
"1893","Kajuru","Tantatu",2024-05-01,2
"1896","Makarfi","Tudun Wada",2024-05-01,2
"1898","Kaduna_South","Tudun Wada Nrth",2024-05-01,2
"1901","Soba","Turawa",2024-05-01,2
"1904","Zangon_Kataf","Ung Rimi",2024-05-01,2
"1910","Zangon_Kataf","Ungwa Gaiya",2024-05-01,2
"1915","Giwa","Yakawada",2024-05-01,2
"1917","Kudan","Zabi",2024-05-01,2
"1919","Zangon_Kataf","Zaman Dabo",2024-05-01,2
"1920","Zangon_Kataf","Zango Urban",2024-05-01,2
"1924","Kubau","Zuntu",2024-05-01,3
"1925","Lere","Abadawa",2024-06-01,2
"1926","Sanga","Aboro",2024-06-01,2
"1929","Kaura","Agban",2024-06-01,2
"1932","Sabon_Gari","Anguwan Gabas",2024-06-01,2
"1934","Sanga","Arak",2024-06-01,2
"1938","Ikara","Auchan",2024-06-01,2
"1946","Sabon_Gari","Basawa",2024-06-01,2
"1959","Kauru","Damakasuwa",2024-06-01,2
"1970","Sabon_Gari","Dogarawa",2024-06-01,2
"1974","Zaria","Dutsen Abba",2024-06-01,2
"1976","Kaura","Fada",2024-06-01,2
"1979","Chikun","G/Gwada",2024-06-01,2
"1981","Soba","Gamagira",2024-06-01,3
"1998","Lere","Gure/Kahugu",2024-06-01,2
"2001","Igabi","Gwaraji",2024-06-01,2
"2003","Sabon_Gari","Hanwa",2024-06-01,2
"2011","Ikara","Ikara",2024-06-01,2
"2012","Zangon_Kataf","Ikulu",2024-06-01,2
"2013","Jemaa","Jagindi",2024-06-01,2
"2014","Sabon_Gari","Jamaa",2024-06-01,2
"2016","Kagarko","Jere North",2024-06-01,2
"2018","Sabon_Gari","Jushi",2024-06-01,7
"2025","Kagarko","Kagarko South",2024-06-01,2
"2040","Kaura","Kaura",2024-06-01,2
"2050","Kaura","Kpak",2024-06-01,3
"2058","Kaura","Kukum",2024-06-01,3
"2059","Chikun","Kunai",2024-06-01,2
"2063","Ikara","Kurmin Kogi",2024-06-01,2
"2066","Birnin_Gwari","Kuyello",2024-06-01,2
"2076","Zaria","Limancin Kona",2024-06-01,2
"2085","Kauru","Makami",2024-06-01,2
"2088","Kaura","Mallagum",2024-06-01,2
"2095","Chikun","Nassarawa",2024-06-01,2
"2108","Chikun","Rido",2024-06-01,3
"2112","Ikara","Rumi",2024-06-01,2
"2114","Jaba","Sab-Zuro",2024-06-01,3
"2116","Lere","Sabon Birni",2024-06-01,2
"2118","Kudan","Sabon Gari",2024-06-01,4
"2131","Ikara","Saya Saya",2024-06-01,2
"2141","Kaduna_South","Tudun Nupawa",2024-06-01,2
"2151","Zangon_Kataf","Ung Rimi",2024-06-01,2
"2155","Kaduna_North","Unguwan Shanu",2024-06-01,2
"2157","Zangon_Kataf","Ungwa Gaiya",2024-06-01,2
"2160","Giwa","Wazata",2024-06-01,2
"2163","Chikun","Yelwa",2024-06-01,6
"2166","Zangon_Kataf","Zaman Dabo",2024-06-01,3
"2167","Zangon_Kataf","Zango Urban",2024-06-01,3
"2170","Zangon_Kataf","Zonkwa",2024-06-01,2
"2173","Lere","Abadawa",2024-07-01,2
"2174","Sanga","Aboro",2024-07-01,2
"2176","Kajuru","Afogo",2024-07-01,2
"2177","Kaura","Agban",2024-07-01,2
"2179","Kubau","Anchau",2024-07-01,2
"2180","Kachia","Ankwa",2024-07-01,2
"2181","Sanga","Arak",2024-07-01,3
"2182","Kagarko","Aribi",2024-07-01,2
"2183","Jemaa","Asso",2024-07-01,2
"2186","Ikara","Auchan",2024-07-01,3
"2187","Kachia","Awon",2024-07-01,2
"2188","Sanga","Ayu",2024-07-01,4
"2189","Kaduna_North","Badarawa",2024-07-01,2
"2190","Kaduna_South","Badiko",2024-07-01,3
"2191","Kauru","Badurum",2024-07-01,2
"2192","Jemaa","Barde",2024-07-01,2
"2193","Kaduna_South","Barnawa",2024-07-01,2
"2195","Igabi","Birnin_Yero",2024-07-01,2
"2196","Kachia","Bishini",2024-07-01,3
"2198","Sanga","Bokana",2024-07-01,3
"2199","Sabon_Gari","Bomo",2024-07-01,2
"2201","Kajuru","Buda",2024-07-01,3
"2203","Chikun","Chikun",2024-07-01,2
"2204","Jaba","Chori",2024-07-01,2
"2205","Jaba","Daddu",2024-07-01,2
"2208","Kauru","Damakasuwa",2024-07-01,2
"2211","Zaria","Dambo",2024-07-01,2
"2219","Kauru","Dawaki",2024-07-01,3
"2220","Sabon_Gari","Dogarawa",2024-07-01,2
"2221","Birnin_Gwari","Dogon Dawa",2024-07-01,2
"2223","Kudan","Doka",2024-07-01,2
"2228","Jaba","Fada",2024-07-01,2
"2229","Kaura","Fada",2024-07-01,2
"2234","Chikun","G/Gwada",2024-07-01,2
"2235","Giwa","Galadimawa",2024-07-01,2
"2236","Soba","Gamagira",2024-07-01,3
"2247","Soba","Gimba",2024-07-01,2
"2253","Kachia","Gumel",2024-07-01,2
"2258","Sanga","Gwantu",2024-07-01,2
"2260","Zaria","Gyallesu",2024-07-01,2
"2265","Kudan","Hunkuyi",2024-07-01,2
"2267","Kagarko","Iddah",2024-07-01,2
"2268","Kajuru","Idon",2024-07-01,3
"2270","Ikara","Ikara",2024-07-01,5
"2271","Zangon_Kataf","Ikulu",2024-07-01,3
"2272","Jemaa","Jagindi",2024-07-01,2
"2273","Sabon_Gari","Jamaa",2024-07-01,3
"2274","Ikara","Jamfalan",2024-07-01,2
"2279","Sabon_Gari","Jushi",2024-07-01,5
"2281","Kachia","Kachia",2024-07-01,2
"2282","Kaura","Kadarko",2024-07-01,2
"2283","Jemaa","Kafanchan A",2024-07-01,2
"2293","Chikun","Kakau",2024-07-01,2
"2298","Kauru","Kamaru",2024-07-01,2
"2301","Kubau","Kargi",2024-07-01,2
"2306","Kachia","Katari",2024-07-01,9
"2308","Kaura","Kaura",2024-07-01,2
"2309","Zaria","Kaura",2024-07-01,2
"2310","Kaura","Kaura_kaura",2024-07-01,4
"2315","Kauru","Kauru East",2024-07-01,3
"2318","Kaduna_North","Kawo",2024-07-01,2
"2319","Lere","Kayarda",2024-07-01,2
"2322","Soba","Kinkiba",2024-07-01,3
"2324","Kubau","Kubau",2024-07-01,2
"2325","Kudan","Kudan",2024-07-01,2
"2326","Lere","Kudaru",2024-07-01,2
"2327","Kajuru","Kufana",2024-07-01,3
"2328","Zaria","Kufena",2024-07-01,2
"2329","Chikun","Kujama",2024-07-01,3
"2330","Kagarko","Kukui",2024-07-01,2
"2331","Kaura","Kukum",2024-07-01,3
"2332","Chikun","Kunai",2024-07-01,2
"2333","Chikun","Kuriga",2024-07-01,2
"2335","Ikara","Kurmin Kogi",2024-07-01,2
"2337","Kachia","Kurmin_Musa",2024-07-01,6
"2339","Ikara","Kuya",2024-07-01,3
"2340","Birnin_Gwari","Kuyello",2024-07-01,2
"2346","Soba","Kwasallo",2024-07-01,2
"2347","Kauru","Kwassam",2024-07-01,2
"2348","Kachia","Kwaturu",2024-07-01,2
